name;short_name;location_supplier;location_dgcfs;location_xmcfs;location_yantian;location_xiamen;distance_dgcfs;duration_dgcfs;distance_yantian;duration_yantian;distance_xmcfs;duration_xmcfs;distance_xiamen;duration_xiamen
JI AN NEW SOUTH CHINA SPORTS L;NEW SOUTH CHINA;114.929259,26.962614;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Xinxing New Derun garment co.,;XINDERUN;112.279998,22.704115;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JD METAL INDUSTRY (SZ)CO., LTD;JD;113.88444,22.786582;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DongGuan Wei Sheng;Wei Sheng;113.637845,22.893072;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
CHENGYI OPTICAL (XIAMEN) CO.,L;CHENGYI ;118.148129,24.488408;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
LONG DA MACHINERY ENTERPRISES(SHENZHEN)CO.LTD;LONG DA;114.078702,22.717792;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JOY INDUSTRIAL (SHENZHEN) CO.,;JOY;113.887072,22.820604;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SHENZHEN STANDFORD DONGHONG FABRICS CO.LTD;STANDFORD DONGHONG;114.410837,22.697197;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
CIMTEX COMPOSITE MANUFACTURING;CIMTEX;113.280604,23.262474;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GUANGZHOU JINFENG TRADING CO L;JINFENG;113.316384,23.284123;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Golden roller international Lt;SHINEHOME;114.336495,22.867074;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
PCCS GARMENTS (SUZHOU) LIMITE;PCCS;120.521601,30.933782;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JITIAN GARMENT CO,LTD;JITIAN;113.897676,22.782715;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HL CORP (SHENZHEN);HL(SG);113.815724,22.781073;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
On Real Electronics (ShenZhen);On Real Electronics;113.85459,22.815435;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XIAMEN HONGTAI OPTICAL CO. LTD;HONGTAI;118.164303,24.521145;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XINCHENGDA FASHION HUBEI CO.,L;XINCHENGDA;113.88064,31.612887;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Fotune Sporting Co., Ltd;Fotune;112.958574,23.633681;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
BEIHAI WINWIN ARCHERY CO;WINWIN;109.126531,21.486836;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ICON HEALTH & FITNESS INC.;ICON HEALTH & FITNESS INC.;117.954186,24.5354;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
YOUNGS WATCH COMPANY LTD;DALAS;114.009003,22.663685;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GLORIEUX INTERNATIONAL (H.K.);GLORIEUX;113.949616,22.987542;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
KA SHING TRADING CO;JiaSheng;114.23187,23.164271;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
CHEN-PON PLASTIC (SHENZHEN);CHEN-PON;113.873921,22.655977;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JASON INDUSTRIAL CO., LTD;JASON;113.893752,22.723536;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Bestway (Hong Kong) Internati;Bestway;121.314632,31.268672;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HUI ZHOU YUANSHENG BICYCLE PAR;YUANSHENG;114.59438,22.891026;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Tony Optical Enterprises;Tony;117.905246,24.53191;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN HONGZHAN METAL CO.,LT;HONGZHAN;114.124787,22.965645;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Hubei Challenge Apparel Co.,Lt;Challenge;110.216899,32.238456;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FOSHAN CITY NANHAI WEIHONG MOL;WEIHONG;112.921274,23.062469;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Shenzhen DBK electronics co.,l;DBK;114.009809,22.671381;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GUIZHOU DINGSHENG GARMENT CO.,;DINGSHENG;108.681874,26.95868;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
wayder plastic ind. co. LTD;Wayder;120.523599,32.325887;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SHANGHAI NEOENT INDUSTRIAL CO.;NEOENT;121.50928,30.909953;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
NANTONG TIMES CLOTHING CO. LTD;Times;120.554717,32.405314;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SHANGHAI JI LONG PLASTIC;JI LONG;121.675036,31.172986;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHANGJIAGANG MEIRUYI CAPS CO.,;MEIRUYI;120.568145,31.816538;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SH SHENGFEIDA GARMENTS CO., LT;SHENGFEIDA;121.058385,31.090237;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
QINGDAO JIFA IMP.&EXP.CO.,LTD; JIFA;115.798398,36.120817;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
TIANJIN HUANQIU RECREATION PRO;HUANQIU;117.283436,39.768723;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dongguan Qian Li Ma lndustries;Qian Li Ma;114.036377,23.007779;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DongGuan JUTAI composite mater;JUTAI;114.17089,22.85031;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HARD CORE ASIA INDUSTRIAL CO.,;HARD CORE;112.032795,21.918712;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Qingdao Huilu Silicone co.,LTD;Huilu;120.180686,35.960689;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Hubei Juntong Supply Chain;Juntong;112.19065,30.933482;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FURI HOMETEXTILES CO., LTD.;FURI;119.796729,36.381353;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JIANGSU JUJIE MICROFIBERS;JUJIE;120.676135,31.08766;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
lianyungang dongxia clothing;dongxia;118.971702,34.885136;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
QINGDAO DC LEATHER PRODUCT CO.;DC;120.368068,36.327035;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
zhejiang sunrising garments co;sunrising;119.719027,30.667848;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Huaian Chisage Industrial;Chisage;119.21125,33.624821;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
anhui xingxing garments joint;xingxing;116.591833,31.771927;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
NINGBO SHENZHOU KNITING CO., L;SHENZHOU KNITING;121.805937,29.925163;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
zhejiang yisijia garment co.,;yisijia;121.00127,30.762252;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
AnhuiHuayangGarmentCo.,Ltd.;Huayang;115.913536,33.687338;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
zhe jiang hongzhu;hongzhu;120.974125,30.856685;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dongguan YongDong Electronic T;YONG DONG;114.102057,22.874662;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHEJIANG GOLDTOP HAT;GOLDTOP;120.046336,29.328157;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
BETRUE TECHNOLOGY (SHENZHEN) CO.,LTD.;BETRUE;113.863873,22.755663;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Qingdao Ruihua Group Co.,Ltd;Ruihua;120.481398,36.42302;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Rudong FengLi Machinery;FengLi;121.047691,32.443647;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
nantong ironman sporting;IRONMAN;120.887696,31.979954;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GLOBALSAT TECHNOLOGY (GUANGZHO;GLOBALSAT;113.86242,23.193796;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Jiaxing Ruiyu Garment Co., Ltd;Ruiyu;121.238701,30.698003;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
PINGHU MEGA VACUUM FLASK INDUS;PINGHU MEGA;121.236151,30.705401;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
NINGBO YONGLIN LIGHT INDUSTRY; YONGLIN LIGHT;121.459087,29.989689;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
matsuoka industry group;Matsuoka;120.254711,32.857621;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Ningbo Tianqi Technology;Tianqi;121.812558,29.927296;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHEJIANG QIAOER TINGTING;QIAOER TINGTING;120.864157,30.018903;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
MAILHOUSE (Henan) CORP.;MAILHOUSE;116.145144,34.208289;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
TAIZHOU VISTA SPORTS GOODS CO.;Vista;121.607311,28.34591;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SHANGYU UNIQUE UMBRELLA CO.,;UNIQUE UMBRELLA;120.772388,30.126915;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Shenzhen Great Sport Equipment;Great Sport;114.328148,22.791989;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Anhui Korrun Co., Ltd;Korrun;121.640335,30.925328;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
jining xinyuan sewing products;JINING Xinyuan;116.34861,35.413257;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
PCCS garments (suzhou) ltd;PCCS;120.521601,30.933782;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JIANGXI MENGNA SOCKS;MENGNA;117.015646,28.22967;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Hengyang Tengfei;Tengfei;112.407787,26.969527;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
VICTORY INNOVATION TECHNOLOGY;VICTORY;113.644045,22.998996;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
QINGDAO DC LEATHER PRODUCT;QINGDAO DC;120.433576,36.139697;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Ningbo Wentai Sports Equipment;Wentai ;121.827434,29.92944;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
QINGDAO SUNWAY SHOES CO.LTD;QINGDAO SUNWAY;120.561638,36.655684;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN BESTAC TECHNOLOGY CO.;BESTAC;113.608272,22.992403;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JINGJIANG KELTER KNITTING FACT;KELTER;120.234145,32.039016;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
leon sports ltd;LEON;120.366749,31.53539;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Victory Mold Co., Ltd.;Victory Mold;113.752358,23.097245;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Yangzhou Doni Co., Ltd;Doni;119.500053,32.370953;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
WEIHAI E-MAX SPORT APPARATUS C;E-MAX;122.122348,37.52569;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
LUAN YINGRUI CLOTHING CO., LTD;YINGRUI ;116.526412,31.741452;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
shanghai wande sporting goods;WANDE;121.456326,30.978596;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHEJIANG ARCANA POWER HEALTH T;ARCANA POWER;121.21916,30.235463;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SHANDONG WEIHAI HUANQIU FISHIN;HUANQIU;122.067337,37.509004;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
VICTORY FOOTWEAR CO.,LTD;VICTORY FOOTWEAR;113.735871,23.105671;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
xinwei nanjing strenfit factor;XINWEI NANJING;118.696181,31.943382;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JIANGSU SUQIAN CHUBA SPORTS AP;CHUBA;118.360197,33.92755;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Suzhou Meishanzi Garments;Meishanzi ;120.677061,31.007074;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Zhangjiagang Zhongtian Precisi;Zhongtian;120.537407,31.902935;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SHANGHAI YANGFAN INDUSTRIAL;ANGFAN ;120.134824,33.322506;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHEJIANG HENGFENG TOP LEISURE;TOP LEISURE;120.134961,30.327098;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
TANGSHAN JINHENGTONG CARBON FI;JINHENGTONG;117.615769,39.380554;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
YANGZHOU JINQUAN TRAVELLING GO;JINQUAN;119.321787,32.526353;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Yuyue Home Textile Co., Ltd.;Yuyue;118.08693,37.309744;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Kenda Rubber (China) Co.,Ltd;Kenda Rubber;121.10595,31.371162;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
COMEFLY OUTDOOR CO., LTD;COMEFLY;119.178417,29.034487;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
zhejiang jasan holding group;JASAN;118.61975,28.716181;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SELLE ROYAL CHINA CO., LTD;SELLE ROYAL;120.321822,31.935331;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
NINGBO ORIENT HANDICRAFT CO.,;ORIENT;121.587714,29.983229;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
QingdaoVincentexTextileandGarm;Vincen;120.01455,35.83704;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dongtai Haixin Marine Applian;Haixin Marine;120.770655,32.680154;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHEJIANG NATURAL TRAVEL;NATURAL;120.911225,29.144425;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
KUNSHAN GARMENT & SHOES FACTOR;KUNSHAN GARMENT & SHOES;120.955748,31.444058;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ANHUI JIAHAI CLOTHES & ORNAMEN;JIAHAI;115.838607,32.895009;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
TAI CANG XINLONG CYCLE PARTS C;TAI CANG XINLONG;121.231645,31.495558;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SHAOXING SUNKU SPORTS GOODS CO ;SHAOXING SUNKU;120.623977,30.103819;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
LIAN YUN GANG SEURO INDUSTRIAL;SEURO;119.234905,34.274533;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
VICTORY WORLDWIDE SPORTING GOODS CO.,LTD;VICTORY;111.466534,28.933723;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HUIZHOU DOUBLE STAR SPORTS GOO;DOUBLE STAR;114.312727,22.830433;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
WENZHOU TONGYONG LOCK CO.,LTD;WENZHOU TONGYONG;120.666686,27.95283;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Shenzhen Chengyan Science and ;Shenzhen Chengyan;114.127674,22.547146;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dong Guan Honglin Industrial C;HON GLIN;114.153688,22.762203;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN PARK SPORT PRODUCTS;DONGGUAN PARK;114.105123,22.789868;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
PLUS'O' MINUS FITNESS PRODUCTS;PLUS'O'MINUS;120.68465,31.355276;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Hubei Roctop Headwear Co.,Ltd;Hubei Roctop;115.641205,30.759829;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
WEIHAI GUANGWEI GROUP CO.,LTD;WEIHAI?GUANGWEI;122.036327,37.512425;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GAOZHOU JIADU GARMENT CO,LTD;GAOZHOU JIADU;110.860857,21.833084;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GUANGZHOU LEONIS MACHINERY CO,. LTD.;LEONIS;113.135204,23.361717;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SELLE ROYAL CHINA CO., LTD.;SELLE ROYAL;120.321822,31.935331;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Minami Acoustics Co., LTD;Minami;113.537362,22.549556;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
YANGZHOU JIUYANG FISHING TACKL;YANGZHOU JIUYANG;119.413613,32.447148;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
EVERMAX PLASTIC INDUSTRY CO.,;EVERMAX;120.971715,30.924754;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SUPERSTAR ?QUIPEMENTS DE SPOR;SUPERSTAR;119.020494,31.639282;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Hunan Sunfreda Garment Co., Lt;Hunan Sunfreda;111.570972,27.271548;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Fangyuan Stationery;Fangyuan;118.762127,24.899888;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HUBEI BIFAN GARMENT INDUSTRIAL;HuBei Bifan;112.816946,30.41838;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
J&J INDUSTRIES CO.LTD;J&J;112.032795,21.918712;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dongguan Dezhijie Digital Tech;Dezhijie;114.1073,22.813148;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Genesis Sporting Goods Company;Genesis Sporting;113.725113,23.112951;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HANGZHOU SUNTEN TEXTILE CO.LTD;HANGZHOU SUNTEN ;120.21551,30.253082;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHE JIANG HONGZHU PLASTIC;ZHE JIANG HONGZHU;120.974125,30.856685;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Shenzhen Fenda Smart Technolog;Fenda;113.905831,22.677645;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
PUTIAN BAIHO FOOTWEAR CO.,LTD;BAIHO;119.092559,25.383256;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XIAMEN EVERE SPORTS GOODS CO.,LTD;EVERE SPORTS;118.121475,24.710336;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DAFU PLASTIC INDUSTRY CO LTD;DAFU;119.110962,25.285137;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZhangZhou HengLi Electronic Co;HENGLI;117.713853,24.539599;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FUJIAN EZON INFORMATION TECHNO;EZON;119.249263,26.057596;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ICON HEALTH & FITNESS INC.;ICON;117.954186,24.5354;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ICON HEALTH & FITNESS INC.;ICON;118.121475,24.710336;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
TONY OPTICAL ENTERPRISES CO.,LTD;TONY;117.905246,24.53191;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Fuzhou Dong Lian Enterprise Co;DON GLIAN;119.376482,25.897846;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SUN HAVEN OPTICAL CO.,LTD;SUN HAVEN;118.016879,24.528695;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FUJIAN SUNSHINE FOOTWEAR CO.,L;SUNSHINE;118.623414,24.996824;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HWAMAO OPTICAL(XIAMEN) CO.,LTD;HWAMAO;118.160335,24.517109;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XIAMEN GLADY SPORTS PRODUCT ENTERPRISE C;GLADY;118.145076,24.684983;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Lifetime Plastic Product Ltd.;LIFETIME;117.932099,24.553408;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
STRENGTH MASTER HEALTH CORP.;HEALTH;117.594973,24.094001;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Strength Master Fitness Tech. Co., Ltd;FITNESS;120.5161352,24.0517963;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Xiamen Wintex Imp. & Exp. Co.;WINTEX;113.21232,23.033338;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Xiamen Wintex Imp. & Exp. Co.;WINTEX;119.596259,25.95391;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FUJIAN PUTIAN SHUANGYUAN FOOTW;SHUANGYUAN;119.053153,25.486253;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FUZHOU SHUWO FOOTWAER CO.,LTD;SHUWO;119.263748,26.064008;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
