name;short_name;location_supplier;location_dgcfs;location_xmcfs;location_yantian;location_xiamen;distance_dgcfs;duration_dgcfs;distance_yantian;duration_yantian;distance_xmcfs;duration_xmcfs;distance_xiamen;duration_xiamen
FOSHAN MA DU QI DRESSMAKING IN;MADUQI;113.065097,23.037351;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GOLDTOP 2000 LIMITED;GOLDTOP;113.845546,22.808476;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHONGSHAN ZHONGLIANG FOREIGN T;ZHONGLIANG;113.340584,22.565449;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XIAMEN KING YOUNG SADDLERY CO.;KING YOUNG;118.163628,24.657556;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
NANNING CHEERWAY GARMENT MFG.;CHEERWAY;108.334529,22.726173;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Zhuhai Technique Plastic;TEYI;113.519239,22.283734;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZEUS SPORTING GOODS CORP;ZEUS;114.129129,22.764652;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dongguan Technomate;Technomate;113.973051,23.024957;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
WEALTH RICH GARMENT(SHENZHEN);RUNXINGFA;113.9351,22.647031;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Golden-rhino Textile&Garments;Golden-rhino;111.802111,30.197767;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
W&Y(SHENZHEN) TYPE OF COMPANY;W&Y;114.1073,22.813148;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
WAIWAH SKI WEAR FACTORY LTD;WAIWAH;113.035394,22.674913;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
WELL POWER SPORTING GOODS CO.,;WELLPOWER;113.876956,22.990666;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Gooddale (Sportswear);Gooddale;113.900028,23.151029;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN FUJING GARMENT LTD CO;VIVA;113.809036,22.821046;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dongguan Manhattan Outdoor Clo;MANHATTAN;113.618748,22.963818;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XINHUI WELLBOND GARMENT MANUFA;WELLBOND;113.02363,22.509553;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHANGZHOU XIAWEN GLASSES CO.,L;XIAWEN;117.953685,24.484711;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SPORTING KING (SHENZHEN) CO.,L;SPORTING KING;113.78734,22.745026;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
UNITEX INTERNATIONAL BUTTON AC ;UNITEX;113.844196,22.599345;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dongguan Jiaheng Toy Co.,Ltd;Jiaheng;113.90428,22.994959;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
OSSOU  Metal & Plastic Manuf.;OSSOU;113.796887,22.681242;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FIRST SPORTS EQUIPMENT;FIRST SPORTS;113.032077,22.509847;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Technomate Manufactory Limited;Technomate;113.973051,23.024957;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
advance watch co.,(far east) L;Advance;113.432157,22.603388;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
MACNEILL WORLDWIDE PACIFIC LTD;MACNEILL;114.143323,22.75306;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Zhongshan Transtek Trading Co. ;Transtek;113.489038,22.616109;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Hubei Donglin Apparel Co.ltd;DONGLIN;112.610955,31.142905;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GZ XUNLI Wuhan Branch;WUHAN NOVALINE;114.425801,30.471625;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Wuhan Lovegod High-Level Dress;LOVEGOD;114.241993,30.628615;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
TRANSTON INDUSTRIES LIMITED;KMC TRANSTON;114.055577,22.749225;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHONGSHAN MINSEN SOCKS FTY CO.;MANSUM;113.335318,22.626995;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
JINGMEN XINGANG CLOTHING CO.,L;XINGANG;112.19065,30.933482;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN JUNYING SPORTING GOOD;JUNYING;113.726245,22.835016;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN SMARTCAP MANUFACTORY;COMTE;113.890891,23.104249;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
dongguan shun chuen metal prod;shun chuen;114.150492,22.861188;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
NUVO CYCLE PARTS (SZ)CO., LTD;NUVO;113.868328,22.720526;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XINHUI OVERSEAS CHINESE CLOTH;OVERSEAS;113.047882,22.532226;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HuBei Ourselves Garment Co.,Lt;OURSELVES;112.891859,30.371253;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
PORTHLAND GARDEN HOLDINGS LTD;Xiangyi;114.054205,23.054682;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dongguan Tenji Industrial CO,.LTD;Tenji;113.833678,22.801827;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GUANGDONG BIFAN GARMENT INDUST;BIFAN;114.031995,23.206918;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Fujian Soundpond High-tech tex;SOUNDPOND;119.185433,26.152631;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
CHINADIVE WATERSPORTS INC.;ZHONGQIAN;114.366716,22.841104;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ATOZ ELECTRONIC TECHNOLOGY CO.;ATOZ;114.044882,22.799215;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SHENZHEN AEE TECHNOLOGY CO., L;AEE;113.924931,22.655338;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
CTB GOLF BAGS/SPORTS MANUFACTU;CTB GOLF;113.861831,22.918279;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FUJIAN PUTIAN SHUANGYUAN FOOTW;SHUANGYUAN;119.065819,25.506769;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
TONGDA (XIAMEN) TECHNOLOGY;TONGDA;117.963746,24.539114;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Lifetime Plastic Product Ltd.;Lifetime;117.932099,24.553408;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
